translation,transliteration,charater_count
The Kaneš Colony to the Purušhaddum Colony. Since Uṣur-ša-Aššur left from there and entered the Inner Land <gap>,um-ma kà-ru-um Kà-ni-ìš-ma a-na kà-ri-im Pu-ru-uš-ha-dim qí-bi-ma iš-tù Ú-ṣur-ša-A-šùr a-ma-nu-um ú-ṣa-a-ni-ma a-na ma-tim qé-er-bi-tim e-ru-bu,143
5 5/6 minas of silver that Zukuwa and Ali-ahum balanced on behalf of Amur-Aššur son of Babalānum <gap>,5 5/6 ma-na KÙ.BABBAR ša a-šu-mì A-mur-A-šur DUMU Ba-ba-lá-nim Zu-ku-a A-lá-hu-um e-pu-lu DUMU <gap>,100
"You are my father please, as soon as you hear my letter, weigh the silver and interest recorded in your tablet for my representative and write to me, let your letter informing us be free!",a-bi a-ta ki-ma tup-pí-i ta-áš-me-ú a-ma-lá tup-pì-a KÙ.BABBAR ú ší-ba-sú ša tup-pì-kà a-na ša ki-ma i-a-tí šu-qúl-ma šu-up-ra-ma tup-pì-kà a-ša tù-ša-hu-zu-ni lu-šé-er,168
<gap>: inns; 1 1/2 shekel of silver for the official <gap>,a-<gap>É ub-ri 1 1/2 GÍN KÙ.BABBAR a-kà-ší-im <gap>-ma,54
"The 12 kutānum-textiles that Puzur-Aššur left behind with you — assign those textiles to Ennam-Anum, son of Abiya, so that he personally can give them to the guides to bring them here.",12 TÚG ku-ta-ni ša Puzur4-A-šur e-zi-ba-ku-ni TÚG.HI.A a-na En-na-nim DUMU A-bi4-a pí-qí-id-ma ù šu-ut a-na ra-dí-e li-dí-šu-nu-ma lu-ub-lu-ni-im,145
" I have received 49 black textiles, 53 minas 1 shekel of tin, and 1 mina of silver, the price of the 2 donkeys belonging to our father, and I have been credited with the price of the donkeys that Šalim-bēlī conducted to you, so pay me the balance: 10 shekels of silver.",50 LÁ 1 TÚG šu-ru-tum 53 ma-na 1 GÍN AN.NA 1 ma-na KÙ.BABBAR ší-im 2 ANŠE ša a-bi4-ni al-qé-ma i-na ší-im ANŠE.HI.A ša Ša-lim-be-lí ir-dí-a-ku-ni ba-lu-ṭá-ku-ma 10 GÍN KÙ.BABBAR ta-na-pá-lam5,191
"55 minas was the price of your donkeys, 31 minas the price of the silver in Dan-Aššur's possession — the total of your copper: 15 talents 24 2/3 minas of washed copper <gap>",55 ma-na ší-im ANŠE.HI-kà 31 ma-na ší-im KÙ.BABBAR ša li-bi4 Dan-A-šùr ŠUNIGIN URUDU-i-kà15 GÚ 24 2/3 ma-na URUDU ma-sí-um <gap>,128
We paid 18 minas of good copper as the transport tariff on your copper and your donkeys.,18 ma-na SIG5 ša-du-a-at URUDU-i-kà ù ANŠE.HI-kà ni-iš-qúl,58
One mina per talent was missing during the breaking up.,1 GÚ-tum 1 ma-na.TA i-na ša-bu-ri-im im-ṭí,42
We deposited 2 1/2 minas of good copper out of your copper and gave it to Ab-šalim for the carriage of Ab-šalim's and Dan-Aššur's copper. We did not give them anything for expenses and food.,2 1/2 ma-na URUDU SIG5 i-li-bi4 URUDU-i-kà ni-dí a-na ta-ší-a-at URUDU ša Áb-ša-lim ù Dan-A-šùr a-na Áb-ša-lim ni-dí-in gám-ra-am ù ú-ku-ul-tám mì-ma ú-lá ni-dí-šu-nu-tí,169
"The rest of your tin: 3 minas 15 shekels, they bring to you.",ší-tí AN.NA-ki-kà 3 ma-na 15 GÍN na-áš-ú-ni-kum,47
"18 minas of tin were sold at 10 minas each, 4 minas less 15 shekels at 9 minas each.",18 ma-na AN.NA 10 ma-na.TA 4 ma-na LÁ 15 GÍN 9 ma-na.TA ta-di-in,64
My staff stood ready to leave with these others when a pig attacked me and I fell and broke my leg so I am detained here.,ṣú-ub-ri wa-áš-ba-at-ma iš-tí an-ni-ú-tim a-na wa-ṣa-e-ma hu-zi-ru-um e-ki-ri-ma am-qú-ut-ma šé-pì áš-tí-bi4-ir-ma ak-ta-lá,123
They shall weigh it up to 2 months from the week of Pūšū-kēn and Aššur-malik.,iš-tù ha-mu-uš-tim ša Pu-šu-ke-en6 ù A-šùr-ma-lik a-na 2 ITU.KAM i-ša-qú-lu,75
"If he does not pay it when its due date arrives, he shall add interest of 1 1/2 shekels per 1 mina per month.",i-ša-qal šu-ma i-na u4-mì-šu ma-al-ú-tim lá iš-qúl 1 1/2 GÍN.TA i-na ITI.KAM-im a-na 1 ma-na-im ṣí-ib-tám ú-ṣa-áb ta-ah-sí-is-tum,129
Then my own message will go to him from here.,qá-tí ú-i-a-tum tí-ir-tí a-na-na,32
"To Pūšu-kēn, as follows: Aššur-imittī and Puzur-Aššur: From the silver that Puzur-Aššur brought, the following have been paid: 100 kutānum cloths, 20 minas of loose tin, 4 black donkeys, 1/2 minas of provision for the driver, and 2 schillings for his clothing: All this Ia-šar brings you. We will make the rest of your silver available and send it to you with a later messenger.",i-na KÙ.BABBAR ša Puzur4-A-šur ub-lá-ni 1 me-at 10 TÚG-ta-ni 20 ma-na AN.NA qa-tim 4 ANŠE.HI.A ṣa-lá-mu-ú 1/2 ma-na be-ú-lá-tim ša sá-ri-dí-im 2 GÍN lu-bu-šu mì-ma a-nim I-a-šar i-ra-de8-a-kum ší-tí KÙ.BABBAR-pi-kà nu-za-kà-ma iš-tí wa-ar-ki-ú-tim ni-ša-pá-ra-kum,263
"He stopped me on the way and, begging, took 12 shekels of silver from me.",té-ṣú-bu ik-šu-du-kà i-na ba-ab ha-ra-ni iṣ-bi4-tí-ma i-na ta-as-li-e-tim 12 GÍN KÙ.BABBAR i-na ṣé-ri-a il5-qé a-ma-kam Puzur4-A-šur,132
"Išar-bēlī sold his house, and Dudubiala, son of Peruwa, bought it for 7 1/2 shekels of silver and 1 cup of barley.",I-šar-bé-lí É-bi-sú a-na ší-mì-im i-dí-in-ma a-na 7 1/2 GÍN KÙ.BABBAR ú 1 DUG ŠE-um Du-du-bi4-a-lá DUMU Pé-ru-wa iš-a-am-šu,123
"<gap> tables that were in front of his gods; 1 chair that was in front of Aššur; 1 goblet that was in front of Šarru-mātēn; 2 salt-hawiru, 1 silver goblet and a flask that was in front of Uqur;",<gap> pá-šu-ru ša IGI i-li-šu 1 ku-sí-um ša IGI A-šùr 1 kà-sú-um ša IGI Ša-ru-ma-té-en 2 ha-we-ru ša ṭá-áb-té-en 1 kà-sú-um ša KÙ.BABBAR ú ší-ku-tù-um ša IGI Ú-qú-ur,165
Thereof: 5 1/4 shekels of silver owed by the gardener Ahuašu.,i-dí-nu-nim ŠÀ.BA 5 1/4 GÍN KÙ.BABBAR iš-tí nu-ki-ri-bi-im A-hu-a-šu,68
"Thus Ennam-Aššur and Dadiya, say to Elamma: ""30 minas of silver that Aššur-rē'ī brought here, its excise added, thereof: 2 talents 10 minas of tin under seals and 25 minas of tin for expenses at 14 1/4 shekels :1 cost 10 minas and 53 shekels of silver.",um-ma En-nam-A-šur-ma ù Da-dí-a-ma a-na E-lá-ma qí-bi4-ma 30 ma-na KÙ.BABBAR ša {d}A-šur-SIPAD ub-lá-ni ni-is-ha-sú DIRIG 2 GÚ 10 ma-na AN.NA ku-nu-ki 25 ma-na AN.NA qá-tim 14 1/4 GÍN.TA 10 5/6 ma-na 3 GÍN KÙ.BABBAR it-ba-al,224
Your capital of 11 shekels of silver is recorded on your tablet.,ta-al-tám-nim 11 GIN KU.BABBAR bé-ú-lá-tí-kà,44
"My dear brothers, take care there to have Šalim-wardi and Šu-Nūnu credit you with the proceeds from my previous shipment of textiles and tin.",na-áš-a-ku-nu-tí a-hu-a a-tù-nu a-ma-kam ih-da-ma ší-im ṣú-ba-tí-a ú AN.NA-ki-a pá-ni-im Ša-lim-ar-dí ù Šu-Nu-nu lu-ba-li-ṭù-ni-ku-nu-tí-ma,139
"1 2/3 minas of silver is owed by Adad-rabi. Month Te'inātum, eponymy Šudaya. It runs for 8 weeks. Sealed by Aššur-dan son of Uku, by his brother Ṣilūlu, by Buzi son of Šu-Anum. They will give the copper in the City to Aššur-dan son of Uku, Šalim-Aššur's representative, for buying barley, and he will measure out good barley in the City according to the rate of the biru-officials.",i-ṣé-er {d}IM-GAL ITI.1.KAM té-i-na-tim li-mu-um Šu-da-a a-na 8 ha-am-ša-tim KIŠIB A-šùr-dan DUMU Ú-ku KIŠIB Ṣí-lu-lu a-hi-šu KIŠIB Bu-zi DUMU Šu-A-nim ša ŠE-am ša-a-mì-im URUDU i-na A-lim{ki} a-na A-šùr-dan DUMU Ú-ku ša ki Ša-lim-A-šùr i-du-nu-ma ŠE-am SIG5 ma-hi-ir bi-ri i-na A-lim{ki},288
"In Ilšu-rabi, Aššur-taklāku has 1/3 mina and 5 shekels of refined silver.",1/3 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er DINGIR-šu-GAL A-šùr-ta-ak-lá-ku i-šu iš-tí KÙ.BABBAR,98
"Why has he not paid in accordance with his contract? Indeed, Iddin-Suen will receive 12 shekels from Turaya. Your 5 talents of copper Šalim-bēlī has brought into Burušhaddum.",mì-šu-um ma-lá ṭup-pì-šu lá iš-qú-ul ma-a 12 GÍN I-dí-Sú-in KI Tù-ra-a i-lá-qé 5 GÚ URUDU-a-kà Ša-lim-be-lí a-na Bu-ru-uš10-ha-dim ú-šé-ri-ib,141
I gave 11 shekels of silver on behalf of Nab-Suen when Abi-lamassi went to Hurama. Nab-Suen took 15 shekels of silver for his disposition.,11 GÍN KÙ.BABBAR i-nu-mì A-bi-lá-ma-sí a-na Hu-ra-ma i-li-ku a-šu-mì Na-áb-Sú-in a-dí-in 15 GÍN KÙ.BABBAR Na-áb-Sú-in a-na qá-tí-šu il5-qé,138
I paid 10 shekels of silver for the wagons with grain.,10 GÍN KÙ.BABBAR a-na e-ri-qá-tim ša ú-ṭí-tim áš-qúl,52
I paid 6 1/2 shekel of silver for the wagon with your equipment.,6 1/2 GÍN KÙ.BABBAR a-na e-ri-qí-im ša ú-nu-ut-kà áš-qúl,56
I paid <gap> for the guards. I paid <gap> shekels of silver for acorns and ropes. We paid 4 shekels of silver for you in the guardhouse. <gap> +1/2 shekels for the guards.,<gap> GÍN a-na ša ma-ṣa-ra-tim áš-qúl 1+<gap> GÍN a-na a-lá-ni ù eb-li-im 4 GÍN KÙ.BABBAR i-na ma-ṣa-ra-tim ni-dí-na-kum <gap> 1/2 GÍN a-ša ma-ṣa-ra-tim,152
Do not take the interest of the document for my share!,li-qé ṣí-ib-tám ša ṭup-pì-im a-na qá-tí lá ta-la-qé KÙ.BABBAR 10 ma-na,70
"Tell Šu-Ištar! Ah-šalim says: Regarding your copper; we carried the gift to Rabi Sikkitim and Suliya, and the men's words are good /the men spoke positively.",a-na Šu-Ištar qí-bi-ma um-ma Ah-ša-lim-ma a-dí-i URUDU-i-kà er-ba-am a-na GAL sí-ki-tim ù Sú-li-a ni-ší-ma a-wa-at a-wi-li dam-qá šu-ma a-dí,140
"As follows, Shalim-ahum, to Pūšu-kēn and Dan-Aššur: As for the merchant's silver that Kusiyah brought, the caravan from the lower country is late, and there is no price here for tin.",um-ma Ša-lim-a-hu-um-ma a-na Pu-šu-ke-en6 ù Dan-A-šur qí-bi4-ma KÙ.BABBAR Dan-A-šur qí-bi4-ma KÙ.BABBAR ša DAM.QAR ša Ku-ṣí-a ub-lá-ni ha-ra-num ša ma-at ša-pì-il5-tim ša-da-at ù a-na-kam ší-mì AN.NA ú-lá i-ba-ší šu-ma ha-ra-num,228
"1 talent 50 minas of sealed tin, plus 1 talent under seal from my votive offerings, 6 black textiles, their wrapping, 3 black donkeys, 25 textiles - this Atata conducted to Karriya, Puzur-Suen and Abī-ilī.",1 GÚ 50 ma-na AN.NA ku-nu-ku 1 GÚ ku-nu-ku a-ha-ma ša ik-ri-bi4-a 6 TÚG šu-ru-tum li-wi-sú-nu 3 ANŠE.HI.A ṣa-lá-mu 25 TÚG Kà-ri-a a Puzur4-Sú-in ù A-bi-ì-lí,156
Of the donkeys of Šar-Adad 1 donkey belongs to me and to Aššur-imitti.,šé-bi-lam i-na ANŠE ša LUGAL- {d}IM 1 ANŠE i-a-um ù ša A-šur-i-mì-tí,68
You spent 1/3 mina 8 shekels of silver for the šaddu'atum tax.,1/3 ma-na 8 GÍN a-ša-du-a-tim <gap>-ra-tí,41
I said: Look! Keep the oath you swore in the name of the city and the king.,ša a-bi-a ú-lá i-dí um-ma a-na-ku-ma a-ma ša ni-iš A-lim{ki} ù ru-ba-im ta-mu-ú kà-i-lá ki-ma a-dí ṭup-pé-e,107
Peruwa is owed 67 1/2 shekels of silver from Humadašu and Laknanhašuša.,1 ma-na 7 1/2 GÍN KÙ.BABBAR i-ṣé-er Hu-mu-un-da-šu ù Lá-ak-na-an-ha-šu-ša-ar Pè-ru-a i-šu a-na da-áš-e,102
"To Amurrum-bāni, Ennānum and Ennam-Aššur from Kukuwa: Here I would set out on a journey and come, but Iddin-Ištar and Adad-ṣulūli on their own responsibility said: ""We have seized all the silver belonging to Mannum-balum-Aššur that was in your possession."" Urgent, my dear brothers and lords, he terrified the house there<gap>",a-na MAR.TU-ba-ni En-na-nim ù En-um-A-šur qí-bi-ma um-ma Ku-ku-wa-ma a-na-kam ha-ra-ni a-ta-be-a-ma a-ta-lá-kam I-dí-Ištar ù {d}IM-ṣú-lu-li im-ṣí-ú-ma um-ma šu-nu-ma mì-ma KÙ.BABBAR-áp Ma-num-ba-lúm-A-šur i-na li-bi4-kà ni-iṣ-ba-at a-pu-tum a-hu-ú-a be-lu-a a-tù-nu a-ma-kam É be-TIM <gap> ú-pá-ri-id,300
"Peruwa bought these men: Inarawan, Niwahšu, Šezuška, Kazaya, Yaliya, and Hutašama.",I-na-ra-wa-an Ni-wa-ah-šu Šé-zu-uš-kà Kà-za-a I-a-li-a ú Hu-ta-ša-ma a-wi-li a-ni-ú-tim Pè-ru-wa iš-a-am-šu-nu,110
"Of these, 8 bilats cost 40 mina of sealed tin, and 50 mina of it was Hina's free tin. 41 kutānum of clothing, including the packaging, cost 2 1/2 mina of silver.",it-ba-al ŠÀ.BA 8 GÚ 40 ma-na AN.NA ku-nu-ku 50 ma-na AN.NA a-qà-tí-šú 41 TÚG-ku-ta-nu qá-tí ša li-wi-tim 2 1/2 ma-na KÙ.BABBAR it-bu-lu,135
Testimony.,ší-bu-tum,9
The silver is tied on the heads of those who are righteous and true.,KÙ.BABBAR i-qá-qá-ad šál-mì-šu-nu ù ke-ni-šu-nu ra-ki-is a-na,61
"Enna-Su'en replied: ""I have been sent to Assyria. I will go to Assyria. In Assyria, settle the matter with your father's financier!",šu-qúl um-ma E-na-Sú-en6-ma a-na a-lim{ki} ša-ar-du-a-ak a-na a-lim{ki} a-lá-ak i-na a-lim{ki} iš-tí um-mì-an a-bi4-kà zu-ku-ú ú KÙ.BABBAR,138
"You are my brother, you are my lord; pay the silver and bring out my tablet.",a-hi a-ta be-lí a-ta KÙ.BABBAR šu-qú-ul-ma ṭup-pí-i šé-ṣí-a-ma,62
Only line endings preserved.,<gap>sa <gap>ba <gap>du <gap><gap>kam <gap><gap>-ka <gap>-er u-ku-ul-ti <gap><gap> sa 3 ma-na,93
<gap>Šu-Hubur <gap>34 mina of tin <gap>small riksum-package <gap>inside the tin <gap>also <gap>your <gap>'s tin wants Ili-imittī's tin <gap>your daughter and Aššur-bānī's <gap>I bring.,<gap>-ma Šu-Hu-bu-ur <gap>34 ma-na AN.NA <gap>ri-ik-sí-im ṣa-ah-ri-im <gap>i-na AN.NA <gap>ma a-ha-ma <gap>ku-a-am lu AN-NA <gap>AN.NA ša Ili5-mì-tí <gap>ša ṣú-ha-ar-tim ú A-šùr-ba-ni na-áš-a-ku,194
"1 talent 46 1/2 minas of šikku-copper <gap>in the office of the colony <gap>""",áp-qí-sú-um 1 GÚ 46 1/2 ma-na URUDU-i ši-kam É kà-ri-im <gap>a-ha-ma mì-<gap>KÙ.BABBAR-pí <gap><gap>ma <gap>,108
"If he does not pay, he shall add 1 1/2 shekels interest for each mina per month.",i-ša-qal šu-ma lá iš-qú-ul 1 1/2 GÍN.TA a-na 1 ma-na-im i-ITU.KAM-im ú-ṣa-áb,76
"My dear brother, a final report should come to me and <gap>",šé-bi-lam a-hi a-ta <gap>tí-ir-ta-kà za-ku-sà <gap>li-li-kam-ma <gap>bi <gap>-ma ta-<gap>ha-ra-<gap>lá wa-<gap>,111
"Let no accursed palace write here in any way without your knowledge, lest it kill us.",lá pá-al-ha-ku a-sú-ri É.GAL-lúm ha-al-pu-um i-na lá i-da-i-ku-nu e iš-pu-ra-ma e i-du-uk-ni-a-tí,97
Instead of the bread he will give me 1 jar of wheat.,ki-ma NINDA 1 DUG ar-ša-tim i-da-nam,36
We appointed them as witnesses and they settled the matter and made us swear an oath in the name of the City and,DUMU GUDU4 ni-iš-ba-sú-nu ú-ga-me-ru-ma ni-iš A-lim ú-ta-mè-ú-ni-a-tí-ma 1/3 ma-na KÙ.BABBAR,92
He is withheld because of the silver.,i-be-el iš-tí KÙ.BABBAR uk-ta-al,32
"My dear brothers, send me the silver that was the proceeds of my tin which Eništārum brought to you.",a-hu-a a-tù-nu KÙ.BABBAR ší-im a-ni-ki-a ša E-ni-iš-ta-ru-um ub-lá-ku-nu-tí-ni a-na pá-ni-a šé-bi4-lá-nim,105
"1/2 mina of refined silver, its nishatum and šaddū'atum.",1/2 ma-na KÙ.BABBAR ṣa-ru-pá-am ni-is-ha-sú ù ša-du-a-sú,56
"A letter of Aššur-taklāku, son of Hanana, to Nakile'ad.",1 na-áš-pè-er-tum 2 ša A-šùr-ták-lá-ku 3 DUMU Ha-na-na 4 a-na Na-ki-le-a-ad,75
"Here I said to Aššur-imittī: ""Bring it here.",KÙ.BABBAR-pí-a i-dí a-na-kam um-ma a-na-ku-ma a-na A-šùr-i-mì-tí-ma bi-lam,74
"For 8 minas of refined silver Idi-bāni shall confirm for me Ilī-ālum and Mīšur-rabi's liability, that I and Idi-bāni are each entitled to half the amount. Moreover, he shall give me a valid record of his stating that he owes 8 minas of silver.",a-na 8 ma-na KÙ.BABBAR ša-ru-pí-im Ì-dí-ba-ni Ì-li-a-lúm ù Mì-šu-ra-bi ú-kà-nam a-na-ku ú Ì-dí-ba-ni mì-iš-lá ú ṭup-pu-šu ha-ar-ma-am i-da-nam<gap>(LAM) ša KÙ.BABBAR 8 ma-na ha-bu-lu,182
"To Dan-Aššur, Ennam-Aššur, and Puzur-Aššur, Aziyah said: To Dan-Aššur and Ennam-Aššur: You are my brothers, my lords! Here our sister approached the city about five times and said, ""I want to hear our father's testament!""",a-na Dan-A-šur En-nam-A-šur ù Puzur4-A-šur qí-bi4-ma um-ma A-zi-a-ma a-na Dan-A-šur ù En-nam-A-šur qí-bi4-ma a-hu-ú-a a-tù-nu be-lu-ú-a a-tù-nu a-na-kam a-dí 5-st-šu a-ha-at-ni a-lam ta-ak-šu-ud um-ma ší-it-ma ší-ma-at a-bi4-ni lá-áš-me a-na-ku-ma,247
<gap>he will pay the price of the houses when he returns.,ší-im bé-ti i-tù-wa-ri-šu i-ša-qál,34
1/2 mina 5 shekels silver together with the previous 1/3 mina also 15 shekels tin sarrādum Šarra'da.,1/2 ma-na 5 GÍN KÙ.BABBAR qá-dum 1/3 ma-na-im pá-ni-im ú 15 GÍN AN.NA i-li-bi4 Ša-ra sà-ra-dim,94
"A jug Enlil-bāni; 1 1/2 silver pieces Iddin-abum; 1/2 silver piece Šu-Bēlum; 1 sheep Alu, son of Adudu; 1 sheep Galgallīya; 2 silver pieces Pūšu-kēn.",Sú-sà-a ki-ra-am {d}En-líl-ba-ni 1 1/2 GÍN KÙ.BABBAR I-dí-a-bu-um 1/2 GÍN KÙ.BABBAR Šu-Be-lúm 1 UDU A-lu DUMU A-du-du 1 UDU Ga-al-ga-li-a 2 GÍN KÙ.BABBAR Pu-šu-ke-en6,166
18 shekels of silver for my aunt; 4 shekels for his shipment; 9 shekels of silver for Tarišmatum; <gap> shekels for his <gap>; 2 2/3 minas of silver for the sacrifice from within;,18 GIN KÙ.BABBAR a-na ma-ha-tí-a 4 GIN šé-bu-ul-ta-ša 9 GIN KÙ.BABBAR a-na Ta-ri-iš-ma-tim <gap> GIN <gap>-<gap>-li-ta-ša ŠÀ.BA 2 2/3 ma-na KÙ.BABBAR a-na iq-ri-bi4-im,167
The seal of Aduwa and Ela-ilī.,KIŠIB A-du-wa ù E-lá-lí,23
The merchant is relying on me.,li-li-kà-am tám-kà-ru-um a-na pá-ni-a i-da-gal,46
I gave 20 shekels of silver to the porters from Kaneš to Wašhaniya. I gave 17 1/3 shekels of silver to the porters and my escort.,1/3 ma-na KÙ.BABBAR iš-tú Ka-ni-iš a-dí Wa-aš-ha-ni-a a-ša bi4-lá-tim a-dí-in 17 1/3 GÍN KÙ.BABBAR iš-tú Wa-aš-ha-ni-a a-dí Ú-lá-ma a-ša bi4-lá-tim ù mu-qá-ri-bi4-a a-dí-in,172
I shall come.,li-li-kam lá-li-kam,19
"<gap>said thus: ""He has nothing good with me. If he gave you as well, <gap>,",<gap><gap>iq-bi-ma um-ma šu-ut-ma mì-ma i-li-bi-a ú-lá i-šu šu-ma ki-a-ma i-dí-na-ki-ma,87
"There, at the beginning of my journey, when I went to the city, Enah-ilī arranged my documents in their presence for 8 mina of silver.",a-ma-kam ba-áb ha-ra-ni-a i-nu-mì a-na a-lim{ki} a-ta-al-ku ma-ah-ri-šu-nu ṭup-pé ša 8 ma-na KÙ.BABBAR E-na-ah-DINGIR ih-ri-im,126
We spoke in the hamrum before the city council.,IGI A-lim{ki} i-na ha-am-ri-im ni-tù-ú-ma,41
"The slave-girl Kukra, which Šamaš-abī, son of Zuzānum, had acquired from the boy of Hada'ikur, the alahhinnum,? Šallim-Aššur, son of Iphurum, has bought. He cut off the stalk in our presence.",am-tám Ku-uk-ra ša {d}UTU-a-bi DUMU Zu-za-nim iš-tí ṣú-ha-ri-im ša Ha-da-i-kur a-lá-hi-nim Ša-lim-A-šur DUMU Ip-hu-ri-im iš-a-am ha-ma-am ma-ah-ri-ni ib-tù-uq,158
"As a pledge for <gap>silver, Amur-Šamaš holds the <gap>of Mannumm-kī-Adad.",lá i-tù-ar ša-pár-tám <gap>KÙ.BABBAR <gap>Ma-num-ki-dIM A-mur-dUTU-ma ú-kà-al-šu IGI A-šur-GAL DUMU Lá-qé-ep,108
"You are my father, you are my lord! I wrote to you before.",a-bi a-ta be-li a-ta i-pá-ni-tim-ma áš-pu-ra-kum,48
"Month Ša-sarrātim, eponymy Iddin-abum.",ITI.1.KAM ša sà-ra-tim li-mu-um I-dí-a-bu-um,44
18 1/4 shekels of silver due from Ir'am-Aššur.,18 1/4 GÍN KÙ.BABBAR i-li-bi4 Ir-ma-A-šùr,41
Kaniš and Wahšušana kārum took 12 1/2 mana of tin as šadduātum tax.,12 1/2 ma-na AN.NA a-na ša-du-e-tim ša kà-ri-im Kà-ni-iš ù kà-ri-im Wa-ah-šu-ša-na,82
"Tell Šu-Ištar! Ikūn-pīya says: With the gold you gave me, 1 talent, 10 mina of tin, 20 mina of tin, sealed with my seal, concerning the matter of Ennānum, your representatives did not want to seal it.",a-na Šu-Ištar qí-bi-ma um-ma I-ku-pí-a-ma <gap> KÙ.GI ša ta-dí-na-ni 1 GÚ 10 ma-na AN.NA <gap>20 ma-na AN.NA-ak ku-nu-ki-a En-na-num a-šu-mì a-wa-at a-<gap>ša-zu-uz-ta-kà iš-<gap>kà-na-kam lá i-mu-ú,198
